"place","date","amount"
"06001",2020-02-27,10.05
"06001",2020-03-02,10.05
"06001",2020-03-05,10.05
"06001",2020-03-06,20.05
"06001",2020-03-08,20.05
"06003",2020-03-27,10.05
"06003",2020-04-17,10.05
"06005",2020-03-16,10.05
"06005",2020-03-19,10.05
"06005",2020-03-28,10.05
"06005",2020-04-05,40.05
"06005",2020-04-17,10.05
"06007",2020-03-17,10.05
"06007",2020-03-18,10.05
"06007",2020-03-20,20.05
"06007",2020-03-21,10.05
"06007",2020-03-26,30.05
"06009",2020-03-06,20.05
"06009",2020-03-21,10.05
"06009",2020-03-30,10.05
"06009",2020-04-01,10.05
"06009",2020-04-05,30.05
"06011",2020-03-23,10.05
"06011",2020-03-30,10.05
"06011",2020-04-03,10.05
"06011",2020-05-15,10.05
"06011",2020-05-17,10.05
"06013",2020-02-28,10.05
"06013",2020-03-01,20.05
"06013",2020-03-03,60.05
"06013",2020-03-06,10.05
"06013",2020-03-07,70.05
"06015",2020-03-29,10.05
"06015",2020-03-30,10.05
"06015",2020-04-21,10.05
"06015",2020-05-08,10.05
"06015",2020-05-12,40.05
"06017",2020-03-18,20.05
"06017",2020-03-20,10.05
"06017",2020-03-22,60.05
"06017",2020-03-23,30.05
"06017",2020-03-26,30.05
"06019",2020-03-03,10.05
"06019",2020-03-11,10.05
"06019",2020-03-14,10.05
"06019",2020-03-15,30.05
"06019",2020-03-19,70.05
"06021",2020-03-24,10.05
"06021",2020-03-26,10.05
"06021",2020-04-05,10.05
"06021",2020-04-09,10.05
"06021",2020-04-18,10.05
"06023",2020-02-16,10.05
"06023",2020-03-17,10.05
"06023",2020-03-19,20.05
"06023",2020-03-20,10.05
"06023",2020-03-21,50.05
"06025",2020-03-07,20.05
"06025",2020-03-15,20.05
"06025",2020-03-17,20.05
"06025",2020-03-20,30.05
"06025",2020-03-22,80.05
"06027",2020-03-20,10.05
"06027",2020-03-21,10.05
"06027",2020-03-22,10.05
"06027",2020-03-23,20.05
"06027",2020-03-24,30.05
"06029",2020-03-12,10.05
"06029",2020-03-14,20.05
"06029",2020-03-15,10.05
"06029",2020-03-16,10.05
"06029",2020-03-18,70.05
"06031",2020-03-23,20.05
"06031",2020-03-26,10.05
"06031",2020-03-27,10.05
"06031",2020-03-28,10.05
"06031",2020-04-04,30.05
"06033",2020-04-01,10.05
"06033",2020-04-03,10.05
"06033",2020-04-04,10.05
"06033",2020-04-05,10.05
"06033",2020-04-10,10.05
"06035",2020-05-18,20.05
"06035",2020-05-20,20.05
"06035",2020-05-23,10.05
"06035",2020-05-31,10.05
"06035",2020-06-03,20.05
"06037",2020-01-21,10.05
"06037",2020-02-28,60.05
"06037",2020-02-29,40.05
"06037",2020-03-01,20.05
"06037",2020-03-02,10.05
"06039",2020-03-02,10.05
"06039",2020-03-15,20.05
"06039",2020-03-19,30.05
"06039",2020-03-21,10.05
"06039",2020-03-22,30.05
"06041",2020-03-05,10.05
"06041",2020-03-07,20.05
"06041",2020-03-09,20.05
"06041",2020-03-11,40.05
"06041",2020-03-12,20.05
"06043",2020-04-23,10.05
"06043",2020-04-25,20.05
"06043",2020-04-26,100.05
"06043",2020-04-29,10.05
"06043",2020-05-01,10.05
"06045",2020-03-14,10.05
"06045",2020-03-19,10.05
"06045",2020-03-24,10.05
"06045",2020-03-25,10.05
"06045",2020-04-13,10.05
"06047",2020-03-18,10.05
"06047",2020-03-20,10.05
"06047",2020-03-22,20.05
"06047",2020-03-23,30.05
"06047",2020-03-24,10.05
"06049",2020-07-24,20.05
"06051",2020-03-16,10.05
"06051",2020-03-20,30.05
"06051",2020-03-22,20.05
"06051",2020-03-23,20.05
"06051",2020-03-24,30.05
"06053",2020-03-12,20.05
"06053",2020-03-14,20.05
"06053",2020-03-15,10.05
"06053",2020-03-16,60.05
"06053",2020-03-18,30.05
"06055",2020-03-17,10.05
"06055",2020-03-18,10.05
"06055",2020-03-21,40.05
"06055",2020-03-23,30.05
"06055",2020-03-24,10.05
"06057",2020-03-11,10.05
"06057",2020-03-18,10.05
"06057",2020-03-19,10.05
"06057",2020-03-20,10.05
"06057",2020-03-21,30.05
"06059",2020-01-21,10.05
"06059",2020-02-28,20.05
"06059",2020-03-04,10.05
"06059",2020-03-05,10.05
"06059",2020-03-07,10.05
"06061",2020-02-26,10.05
"06061",2020-02-28,10.05
"06061",2020-03-01,30.05
"06061",2020-03-13,40.05
